Sample	Group
D1	D
S1	S
D2	D
S2	S
D3	D
S3	S
D4	D
S4	S
D5	D
S5	S
D6	D
S6	S
D7	D
S7	S
D8	D
S8	S
D9	D
S9	S
D10	D
S10	S
D11	D
S11	S
D12	D
S12	S
D13	D
S13	S
D15	D
S15	S
D16	D
S16	S
D17	D
S17	S
D18	D
S18	S
D19	D
S19	S
D20	D
S20	S
D21	D
S21	S
D22	D
S22	S
D23	D
S23	S
D24	D
S24	S
D25	D
S25	S
D26	D
S26	S
D27	D
S27	S
D28	D
S28	S
D29	D
S29	S
D30	D
S30	S
D31	D
S31	S
D32	D
S32	S
D33	D
S33	S
D34	D
S34	S
D35	D
S35	S
D36	D
S36	S
D37	D
S37	S
D38	D
S38	S
D39	D
S39	S
D40	D
S40	S
D42	D
S42	S
D43	D
S43	S
D44	D
S44	S
D45	D
S45	S
D46	D
S46	S
D47	D
S47	S
D48	D
S48	S
D49	D
S49	S
D50	D
S50	S
D51	D
S51	S
D52	D
S52	S
D53	D
S53	S
D54	D
S54	S
D55	D
S55	S
