gene1	up_down	gene2	up_down	combined_score
ATP5F1D	Down	ATP5MF	Down	999
COX5B	Down	COX6A1	Down	999
HBA2	Down	HBB	Down	999
NDUFA3	Down	NDUFA7	Down	999
NDUFA7	Down	NDUFB4	Down	999
CKS1B	Down	SKP2	Up	998
EEF1A1	Up	RPS28	Down	998
TNNI3	Down	TNNT2	Up	998
NDUFA3	Down	NDUFB4	Down	997
ATP6V0C	Down	ATP6V1F	Down	996
COX5B	Down	COX6A2	Down	996
NDUFA3	Down	NDUFV3	Down	993
NDUFA7	Down	NDUFV3	Down	993
PRIMPOL	Up	TIMELESS	Up	993
IRS1	Down	SH2B2	Down	992
NDUFB4	Down	NDUFV3	Down	992
RBM28	Up	WDR36	Up	992
IFI6	Down	OASL	Down	991
LRP4	Up	MUSK	Up	991
NDUFA7	Down	UQCR11	Down	991
MDM2	Up	TP63	Up	989
ADORA1	Up	GNAI2	Down	988
COX5B	Down	COX8A	Down	988
PIGL	Up	PIGW	Up	987
CISH	Down	ELOB	Down	986
COX5B	Down	UQCR11	Down	986
DNA2	Up	GEN1	Up	986
ELOB	Down	SOCS1	Down	986
MRPL11	Down	MRPL34	Down	986
AKR1C2	Up	AKR1C3	Up	985
RARA	Down	RARG	Down	985
RARA	Down	RXRG	Down	985
HLA-A	Down	HLA-C	Down	984
UBE2D1	Down	UBXN7	Up	983
MDM2	Up	UBE2D1	Down	982
RARG	Down	RXRG	Down	982
SCN3B	Up	SCN5A	Up	982
CHEK2	Up	MDM2	Up	981
MYH8	Up	MYL4	Up	981
CEBPA	Up	RUNX1	Up	980
CLOCK	Up	TIMELESS	Up	980
NDUFA3	Down	UQCR11	Down	980
CHRND	Up	CHRNG	Up	979
CLOCK	Up	NR1D1	Down	979
HLA-A	Down	HLA-DQA1	Up	979
PLAT	Down	SERPINE2	Down	979
COX6A2	Down	UQCR11	Down	978
COX6A1	Down	COX8A	Down	977
IRS1	Down	SOCS1	Down	977
ATP5F1D	Down	COX5B	Down	976
RPS28	Down	WDR36	Up	976
LEF1	Down	TLE1	Down	975
CISH	Down	SPSB1	Down	974
CCL5	Down	PPBP	Down	973
CCL21	Down	CCL5	Down	972
CCNT2	Up	ELL3	Up	972
CEBPB	Down	CEBPD	Down	971
MYL4	Up	TNNI3	Down	970
HIST1H2BD	Down	MSH5	Up	969
HLA-C	Down	HLA-DQA1	Up	969
ASB2	Down	ELOB	Down	968
F5	Down	MMRN1	Down	968
MYL4	Up	TNNT2	Up	968
MYL9	Down	MYLK2	Down	968
TCAP	Down	TNNT2	Up	968
LEF1	Down	TLE2	Down	967
HLA-C	Down	HLA-DQA2	Down	966
