name	color	type	degree
ABCG1	tomato	Up	1
ACKR3	steelblue	Down	6
ACTB	steelblue	Down	4
ACTN3	steelblue	Down	7
ADAMTS1	tomato	Up	1
ADAMTS17	tomato	Up	2
ADAMTSL5	steelblue	Down	1
ADCY8	tomato	Up	7
ADORA1	tomato	Up	7
ADRA2C	steelblue	Down	6
ADSSL1	steelblue	Down	1
AES	steelblue	Down	2
AKR1C2	tomato	Up	1
AKR1C3	tomato	Up	4
AMOTL2	tomato	Up	1
ARHGAP20	tomato	Up	1
ARHGEF35	steelblue	Down	1
ARHGEF37	steelblue	Down	1
ARSG	tomato	Up	1
ASB12	steelblue	Down	5
ASB2	steelblue	Down	11
ASPM	tomato	Up	2
ATP5F1D	steelblue	Down	6
ATP5MF	steelblue	Down	4
ATP6V0C	steelblue	Down	2
ATP6V1F	steelblue	Down	3
BAMBI	steelblue	Down	3
BBC3	tomato	Up	1
CABLES1	steelblue	Down	1
CACNG8	tomato	Up	1
CASP3	tomato	Up	2
CCL19	steelblue	Down	7
CCL21	steelblue	Down	5
CCL5	steelblue	Down	8
CCNT2	tomato	Up	2
CD3E	steelblue	Down	4
CDKN2B	tomato	Up	1
CEBPA	tomato	Up	3
CEBPB	steelblue	Down	3
CEBPD	steelblue	Down	2
CFD	steelblue	Down	4
CHEK2	tomato	Up	2
CHI3L1	tomato	Up	1
CHN1	tomato	Up	1
CHRNA1	tomato	Up	1
CHRND	tomato	Up	2
CHRNG	tomato	Up	2
CHTF18	tomato	Up	2
CISH	steelblue	Down	7
CKAP2	tomato	Up	1
CKS1B	steelblue	Down	1
CLOCK	tomato	Up	3
COL19A1	tomato	Up	2
COL25A1	tomato	Up	1
COL28A1	tomato	Up	1
COX5B	steelblue	Down	7
COX6A1	steelblue	Down	2
COX6A2	steelblue	Down	5
COX8A	steelblue	Down	2
CRB1	tomato	Up	1
CTSC	steelblue	Down	2
CYP26B1	tomato	Up	1
CYP3A5	tomato	Up	2
DDIT4	steelblue	Down	1
DDX11	tomato	Up	1
DNA2	tomato	Up	4
EEF1A1	tomato	Up	1
ELL3	tomato	Up	1
ELOB	steelblue	Down	11
ENTPD2	steelblue	Down	1
ETHE1	steelblue	Down	1
EZR	tomato	Up	3
F5	steelblue	Down	6
FAM13A	tomato	Up	1
FBXO30	tomato	Up	4
FBXO6	steelblue	Down	2
FBXW10	tomato	Up	2
FMN1	tomato	Up	1
FST	tomato	Up	1
GADD45A	tomato	Up	1
GADD45G	steelblue	Down	1
GEN1	tomato	Up	2
GNAI2	steelblue	Down	10
GNG5	steelblue	Down	8
GRM1	tomato	Up	3
GRM2	tomato	Up	4
HBA2	steelblue	Down	1
HBB	steelblue	Down	2
HDAC11	steelblue	Down	2
HDAC4	tomato	Up	1
HIST1H2BD	steelblue	Down	2
HLA-A	steelblue	Down	7
HLA-C	steelblue	Down	5
HLA-DQA1	tomato	Up	4
HLA-DQA2	steelblue	Down	3
HOXB4	steelblue	Down	1
HPN	steelblue	Down	1
HPRT1	tomato	Up	2
HSD17B3	tomato	Up	1
IFI6	steelblue	Down	4
IFITM3	steelblue	Down	3
IGLL5	steelblue	Down	1
IRS1	steelblue	Down	2
ISLR	steelblue	Down	3
JUP	steelblue	Down	2
KBTBD13	steelblue	Down	2
KCNAB3	tomato	Up	3
KCNB1	tomato	Up	1
KCNQ4	tomato	Up	1
KCNQ5	tomato	Up	1
KCTD7	tomato	Up	2
KIF24	tomato	Up	1
KLF15	steelblue	Down	1
KLHL11	tomato	Up	3
LEF1	steelblue	Down	6
LGI1	steelblue	Down	1
LMO7	tomato	Up	4
LMOD1	steelblue	Down	1
LRP4	tomato	Up	1
LRRK2	tomato	Up	1
LTB4R	tomato	Up	2
MAP3K14	tomato	Up	1
MDM2	tomato	Up	3
MFAP2	steelblue	Down	1
MFAP4	steelblue	Down	1
MMRN1	steelblue	Down	2
MOB1B	tomato	Up	1
MPST	steelblue	Down	1
MRPL11	steelblue	Down	1
MRPL34	steelblue	Down	1
MSH5	tomato	Up	1
MST1	tomato	Up	1
MUSK	tomato	Up	2
MYH8	tomato	Up	6
MYL4	tomato	Up	5
MYL9	steelblue	Down	4
MYLK2	steelblue	Down	1
MYO10	tomato	Up	1
NDUFA3	steelblue	Down	4
NDUFA7	steelblue	Down	6
NDUFB4	steelblue	Down	4
NDUFV3	steelblue	Down	3
NFKBIA	steelblue	Down	1
NME4	steelblue	Down	1
NR1D1	steelblue	Down	1
NRCAM	tomato	Up	1
NRXN3	tomato	Up	1
OASL	steelblue	Down	4
ORM1	steelblue	Down	4
PATJ	tomato	Up	1
PIGL	tomato	Up	1
PIGW	tomato	Up	1
PIP5K1B	tomato	Up	2
PIWIL2	tomato	Up	1
PLAT	steelblue	Down	1
PLCD3	steelblue	Down	1
PLCE1	tomato	Up	1
POMC	steelblue	Down	10
PPBP	steelblue	Down	10
PRIMPOL	tomato	Up	1
PRKAR1A	tomato	Up	2
RAB3IP	tomato	Up	1
RAD23A	steelblue	Down	1
RAD51B	tomato	Up	2
RAMP2	steelblue	Down	2
RARA	steelblue	Down	3
RARG	steelblue	Down	2
RASD1	steelblue	Down	1
RBM28	tomato	Up	1
RGMA	steelblue	Down	1
RGR	tomato	Up	1
RGS10	steelblue	Down	1
RHOD	steelblue	Down	5
RPS28	steelblue	Down	2
RUNX1	tomato	Up	2
RXRG	steelblue	Down	2
SAA1	tomato	Up	3
SAP30	steelblue	Down	1
SCARB1	steelblue	Down	1
SCN3B	tomato	Up	2
SCN5A	tomato	Up	1
SERPINE2	steelblue	Down	1
SERPING1	steelblue	Down	5
SFN	tomato	Up	2
SH2B2	steelblue	Down	1
SKP2	tomato	Up	10
SOCS1	steelblue	Down	7
SORBS3	steelblue	Down	1
SOX13	steelblue	Down	2
SOX4	tomato	Up	2
SPAG5	tomato	Up	1
SPSB1	steelblue	Down	7
STS	tomato	Up	2
TCAP	steelblue	Down	5
TCF7L1	steelblue	Down	4
TDRD6	tomato	Up	1
TGFB2	tomato	Up	1
TGFB3	tomato	Up	3
TICAM1	steelblue	Down	1
TIMELESS	tomato	Up	4
TLE1	steelblue	Down	4
TLE2	steelblue	Down	3
TNFSF12	steelblue	Down	2
TNNI3	steelblue	Down	5
TNNT2	tomato	Up	5
TP63	tomato	Up	5
TRIM63	steelblue	Down	5
TRIM9	tomato	Up	1
TXK	tomato	Up	1
UBE2D1	steelblue	Down	13
UBE2W	tomato	Up	5
UBXN7	tomato	Up	2
UQCR11	steelblue	Down	6
USP18	steelblue	Down	1
USP49	tomato	Up	1
VEGFB	steelblue	Down	1
VIPR2	steelblue	Down	4
WDR36	tomato	Up	2
WSB1	tomato	Up	6
XDH	tomato	Up	1
ZFPM1	steelblue	Down	1
ZNRF2	tomato	Up	3
ZYX	steelblue	Down	1
